MEDIA_ID,MEDIA_NAME,CNT,TIME(2024/05/07 12:44:59.665),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,TTL0,TTL1,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME,
0,DESKTOP_A.png,7,0.11499,41506416435,0.35710,0.06108,0.00000,0.11499,1,1,0.37074,0.10281,1,0.39687,0.09352,0,,0.29427,0.47775,15.69797,0.95662,1,0.61711,0.48965,15.55336,0.95662,1,0,0.00000,21,4.82846,1,4.57473,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 5-AOI 5,0.00000,0.00000,0,
0,DESKTOP_A.png,61,1.00220,41515286543,0.29289,0.33157,0.52563,0.47656,2,1,0.26309,0.21276,1,1.25521,0.21574,0,,0.28892,0.48471,13.47454,0.99121,1,0.61027,0.49583,12.91632,0.97392,1,0,0.00000,22,4.10333,1,3.88865,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,317.07764,247.11948,0,
0,DESKTOP_A.png,79,1.29834,41518248864,0.27982,0.19105,1.06812,0.23022,3,1,0.33908,0.29303,1,1.25521,0.21574,0,,0.29302,0.48497,13.24722,1.04268,1,0.61552,0.49755,12.55870,1.04268,1,0,0.00000,22,3.99403,1,3.73724,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,153.82236,99.38914,0,
0,DESKTOP_A.png,100,1.64282,41521694241,0.34177,0.25265,1.31421,0.32861,4,1,0.51158,0.24546,1,1.25521,0.21574,0,,0.30110,0.48758,15.30414,1.09327,1,0.62342,0.50161,13.26546,1.09327,1,0,0.00000,22,4.28040,1,3.95865,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,136.28516,330.78076,0,
0,DESKTOP_A.png,121,1.98779,41525142642,0.54863,0.36805,1.69238,0.29541,5,1,0.58311,0.32392,1,1.25521,0.21574,0,,0.30351,0.49047,14.55046,1.09327,1,0.62641,0.50461,13.60838,1.09327,1,0,0.00000,22,4.30927,1,3.96881,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 1-AOI 1,416.26694,342.57819,0,
0,DESKTOP_A.png,139,2.28345,41528099334,0.56151,0.28071,2.00415,0.27930,6,1,0.51748,0.25283,1,1.25521,0.21574,0,,0.30131,0.48893,13.13215,1.05867,1,0.62411,0.50235,12.90445,1.04138,1,0,0.00000,22,4.06712,1,3.87861,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 1-AOI 1,97.51500,75.30947,0,
0,DESKTOP_A.png,161,2.64502,41531716198,0.55694,0.30457,2.29980,0.34521,7,1,0.56726,0.25296,0,1.25521,0.21574,0,,0.30144,0.48865,12.94482,1.18322,0,0.62437,0.50225,13.18407,1.18322,0,543,0.00000,22,3.95306,0,3.64092,0,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 1-AOI 1,27.22168,251.19598,0,
0,DESKTOP_A.png,177,2.89209,41534186794,0.58881,0.19062,2.85840,0.03369,8,1,0.59305,0.22800,1,1.25521,0.21574,0,,0.30340,0.48906,13.26505,1.13825,1,0.62662,0.50238,12.23026,1.13825,1,0,0.00000,23,4.07006,1,3.87226,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,137.43909,63.56268,0,
0,DESKTOP_A.png,219,3.59790,41541244706,0.55938,0.58478,2.97363,0.62427,9,1,0.52110,0.71245,1,1.25521,0.21574,0,,0.29413,0.50087,12.19092,1.04224,1,0.61797,0.51277,11.81309,1.02494,1,0,0.00000,23,3.68737,1,3.54171,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 3-AOI 3,429.42664,262.43887,0,
0,DESKTOP_A.png,250,4.10693,41546335361,0.53232,0.71369,3.61426,0.49268,10,1,0.52631,0.75613,1,1.25521,0.21574,0,,0.29424,0.50072,13.06982,1.02581,1,0.61791,0.51177,11.81536,1.02581,1,0,0.00000,23,3.71213,1,3.64547,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 3-AOI 3,148.60123,249.53542,0,
0,DESKTOP_A.png,273,4.48486,41550115213,0.55733,0.68849,4.10767,0.37720,11,1,0.21255,0.51225,1,1.25521,0.21574,0,,0.28647,0.49850,12.33738,1.04888,1,0.60781,0.50969,12.22997,1.07194,1,0,0.00000,23,3.57056,1,3.47280,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 3-AOI 3,55.19557,29.54343,0,
0,DESKTOP_A.png,301,4.94507,41554716069,0.20920,0.48321,4.55054,0.39453,12,1,0.32215,0.50339,1,1.25521,0.21574,0,,0.29190,0.49944,12.19370,1.04181,1,0.61464,0.51125,11.43809,1.05911,1,0,0.00000,23,3.53941,1,3.23708,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,704.21820,161.65001,0,
0,DESKTOP_A.png,329,5.40479,41559313741,0.28579,0.49150,4.94629,0.45850,13,1,0.34517,0.51005,1,1.25521,0.21574,0,,0.29366,0.50081,12.55604,1.07641,1,0.61742,0.51341,12.75377,1.07641,1,0,0.00000,23,3.77244,1,3.72340,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,147.32510,356.51590,0,
0,DESKTOP_A.png,341,5.60229,41561288224,0.37156,0.56131,5.42139,0.18091,14,1,0.37642,0.52803,0,1.25521,0.21574,0,,0.29297,0.50060,12.13279,0.95661,0,0.61647,0.51259,13.04736,0.95661,0,544,0.00000,23,3.59612,0,3.74687,0,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,181.11694,335.40027,0,
0,DESKTOP_A.png,374,6.14404,41566706862,0.29753,0.55514,5.86499,0.27905,15,1,0.36742,0.57208,1,1.25521,0.21574,0,,0.29116,0.50245,12.27705,1.02408,1,0.61534,0.51513,13.22525,1.06444,1,0,0.00000,24,3.70063,1,3.62811,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,142.29375,177.31587,0,
0,DESKTOP_A.png,394,6.47266,41569992880,0.40465,0.53111,6.16064,0.31201,16,1,0.45215,0.47281,1,1.25521,0.21574,0,,0.28996,0.50312,12.36259,1.09327,1,0.61454,0.51430,12.37121,1.09327,1,0,0.00000,24,3.77292,1,3.68259,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 0-AOI 0,207.30133,7.19182,0,
0,DESKTOP_A.png,415,6.81763,41573442293,0.53807,0.33576,6.53857,0.27905,17,1,0.53006,0.43810,1,1.25521,0.21574,0,,0.30111,0.49444,12.00823,1.02581,1,0.62484,0.50866,11.82500,1.02581,1,0,0.00000,24,3.85695,1,3.66356,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 1-AOI 1,331.86295,39.47478,0,
0,DESKTOP_A.png,428,7.03125,41575579163,0.69767,0.39661,6.83423,0.19702,18,1,0.76275,0.46639,1,1.25521,0.21574,0,,0.31240,0.49210,13.45627,0.97391,1,0.63611,0.50700,12.58337,0.97391,1,0,0.00000,24,3.90956,1,3.54861,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 2-AOI 2,313.39969,347.89557,0,
0,DESKTOP_A.png,457,7.50781,41580343775,0.76035,0.38075,7.04761,0.46021,19,1,0.81483,0.37007,1,1.25521,0.21574,0,,0.30952,0.48816,13.12352,1.02407,1,0.63277,0.50370,12.37511,1.02407,1,0,0.00000,24,3.74783,1,3.54778,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 2-AOI 2,121.55844,8.10051,0,
0,DESKTOP_A.png,475,7.80347,41583299810,0.76703,0.25127,7.57349,0.22998,20,1,0.71147,0.08425,1,1.25521,0.21574,0,,0.31701,0.48183,12.20888,1.02407,1,0.63917,0.49886,12.49875,1.02407,1,0,0.00000,24,3.63622,1,3.46351,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 2-AOI 2,140.42535,84.75961,0,
0,DESKTOP_A.png,493,8.09912,41586256765,0.74053,0.10497,7.86938,0.22974,21,1,0.89831,0.23541,0,1.25521,0.21574,0,,0.31683,0.48053,7.67825,1.09327,0,0.63884,0.49601,12.33920,1.09327,0,545,0.00000,23,3.26795,0,3.63556,0,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 5-AOI 5,165.99408,107.84945,0,
0,DESKTOP_A.png,522,8.57568,41591021732,0.75763,0.17511,8.31274,0.26294,22,1,0.79301,0.64589,1,1.25521,0.21574,0,,0.31466,0.49107,14.07296,1.09327,1,0.63870,0.50638,12.71421,1.09327,1,0,0.00000,24,3.84060,1,3.63312,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,,82.56014,293.43277,0,
0,DESKTOP_A.png,567,9.31494,41598414218,0.77716,0.67895,8.62671,0.68823,23,1,0.84708,0.65252,1,1.25521,0.21574,0,,0.31869,0.49645,13.63796,1.19014,1,0.64323,0.51328,13.43696,1.14978,1,0,0.00000,23,3.70541,1,3.56912,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 4-AOI 4,545.43768,273.94208,0,
0,DESKTOP_A.png,608,9.98853,41605149884,0.79520,0.72412,9.33154,0.65698,24,1,0.79260,0.58931,1,1.25521,0.21574,0,,0.31449,0.49661,13.64339,1.02538,1,0.63890,0.51261,12.65905,1.06574,1,0,0.00000,22,3.79011,1,3.53866,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 4-AOI 4,59.82930,305.37503,0,
9,TVM_14_03_24_A.png,17,0.26318,41608110519,0.79263,0.54573,0.00757,0.25562,2,1,0.79589,0.56145,1,1.25521,0.21574,0,,0.31435,0.49821,13.68642,1.05954,1,0.63934,0.51432,12.77695,1.05954,1,0,0.00000,22,3.81128,1,3.54260,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 93,192.72443,91.46710,0,
9,TVM_14_03_24_A.png,32,0.52588,41610735734,0.73820,0.65286,0.29590,0.22998,3,1,0.74300,0.69438,1,1.25521,0.21574,0,,0.31215,0.50192,13.83865,0.97391,1,0.63735,0.51691,12.79439,0.99121,1,0,0.00000,22,3.82145,1,3.59800,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 94,155.91028,227.91028,0,
9,TVM_14_03_24_A.png,57,0.93652,41614842289,0.71446,0.65002,0.54224,0.39429,4,1,0.49107,0.76403,1,1.25521,0.21574,0,,0.30035,0.50672,12.50468,1.00808,1,0.62547,0.52134,13.63878,0.99078,1,0,0.00000,22,3.77353,1,3.59189,1,0.00000,0,0,0,0,0,0,1,1,0,0.00000,0,AOI 94,45.68389,176.15028,0,
